iter	Passed	Remaining
0	143	143618
1	144	71989
2	144	48106
3	145	36162
4	145	29001
5	146	24220
6	146	20807
7	147	18244
8	147	16250
9	148	14655
10	148	13350
11	148	12262
12	149	11342
13	149	10557
14	150	9880
15	150	9281
16	151	8754
17	151	8285
18	152	7864
19	152	7485
20	153	7143
21	153	6832
22	154	6548
23	154	6287
24	155	6047
25	155	5826
26	156	5625
27	156	5436
28	157	5263
29	157	5099
30	158	4944
31	158	4798
32	159	4662
33	159	4533
34	160	4412
35	160	4297
36	160	4188
37	161	4086
38	162	3992
39	162	3900
40	163	3812
41	163	3729
42	163	3648
43	164	3572
44	164	3498
45	165	3428
46	165	3361
47	166	3297
48	166	3235
49	167	3176
50	167	3119
51	168	3064
52	168	3011
53	169	2961
54	169	2913
55	170	2865
56	170	2821
57	171	2778
58	171	2736
59	172	2694
60	172	2654
61	172	2615
62	173	2578
63	173	2543
64	174	2509
65	174	2475
66	175	2442
67	175	2406
68	176	2375
69	176	2345
70	176	2315
71	177	2287
72	177	2259
73	178	2231
74	178	2205
75	179	2179
76	179	2154
77	180	2129
78	180	2106
79	181	2082
80	181	2059
81	182	2037
82	182	2016
83	182	1994
84	183	1972
85	183	1952
86	184	1931
87	184	1912
88	185	1893
89	185	1877
90	186	1859
91	186	1842
92	187	1825
93	187	1808
94	188	1791
95	188	1775
96	188	1759
97	189	1743
98	189	1728
99	190	1713
100	190	1698
101	191	1682
102	191	1668
103	191	1654
104	192	1640
105	192	1626
106	193	1613
107	193	1600
108	194	1588
109	194	1575
110	195	1563
111	195	1551
112	196	1539
113	196	1527
114	196	1516
115	197	1505
116	198	1494
117	198	1484
118	198	1473
119	199	1462
120	199	1452
121	200	1442
122	200	1430
123	201	1420
124	201	1411
125	202	1401
126	202	1392
127	202	1381
128	203	1372
129	203	1363
130	204	1354
131	204	1345
132	205	1337
133	205	1328
134	206	1320
135	206	1311
136	206	1303
137	207	1295
138	207	1287
139	208	1279
140	208	1271
141	209	1265
142	209	1257
143	210	1250
144	210	1243
145	211	1236
146	211	1228
147	212	1221
148	212	1214
149	213	1208
150	213	1201
151	214	1195
152	214	1188
153	215	1182
154	215	1175
155	216	1169
156	216	1162
157	217	1156
158	217	1150
159	217	1144
160	218	1138
161	218	1132
162	219	1126
163	219	1120
164	220	1114
165	220	1108
166	221	1103
167	221	1098
168	222	1093
169	222	1087
170	223	1082
171	223	1076
172	224	1071
173	224	1066
174	225	1061
175	225	1055
176	226	1050
177	226	1045
178	227	1041
179	227	1036
180	227	1030
181	228	1025
182	228	1020
183	229	1016
184	229	1011
185	230	1006
186	230	1002
187	230	997
188	231	993
189	231	988
190	232	984
191	232	980
192	233	976
193	234	972
194	234	968
195	235	964
196	235	959
197	235	955
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	927
205	239	923
206	240	919
207	240	915
208	240	912
209	241	908
210	242	905
211	242	901
212	243	898
213	243	894
214	244	891
215	244	888
216	245	885
217	245	882
218	246	878
219	246	875
220	247	872
221	247	868
222	248	865
223	248	862
224	249	858
225	249	855
226	250	852
227	250	849
228	251	846
229	251	842
230	252	839
231	252	836
232	253	833
233	253	831
234	254	828
235	254	825
236	255	822
237	256	821
238	257	818
239	258	818
240	259	815
241	259	813
242	260	810
243	260	807
244	261	804
245	261	801
246	262	799
247	262	796
248	263	793
249	263	790
250	264	788
251	264	785
252	265	782
253	265	779
254	266	777
255	266	774
256	267	771
257	267	769
258	268	767
259	268	765
260	269	763
261	270	760
262	270	758
263	271	755
264	271	753
265	272	750
266	272	748
267	273	745
268	273	743
269	274	740
270	274	738
271	275	736
272	275	734
273	276	731
274	276	729
275	277	727
276	277	725
277	278	722
278	278	720
279	279	718
280	280	716
281	280	714
282	281	712
283	281	710
284	282	708
285	282	706
286	283	704
287	283	701
288	284	699
289	284	697
290	285	695
291	285	693
292	286	691
293	286	689
294	287	687
295	287	684
296	288	682
297	289	680
298	289	678
299	289	676
300	290	674
301	290	672
302	291	670
303	291	668
304	292	666
305	293	664
306	293	663
307	294	661
308	294	659
309	295	657
310	295	655
311	296	653
312	296	651
313	297	649
314	297	648
315	298	646
316	298	644
317	299	642
318	299	640
319	300	638
320	300	636
321	301	634
322	301	632
323	302	630
324	302	628
325	303	626
326	303	624
327	304	623
328	304	621
329	305	619
330	305	617
331	306	615
332	306	613
333	306	612
334	307	610
335	307	608
336	308	606
337	308	604
338	309	603
339	310	601
340	310	600
341	310	598
342	311	596
343	311	594
344	312	592
345	312	591
346	313	589
347	313	587
348	314	586
349	314	584
350	315	582
351	315	580
352	316	579
353	316	577
354	317	576
355	317	574
356	318	572
357	318	571
358	319	569
359	319	567
360	319	566
361	320	564
362	320	562
363	321	561
364	321	559
365	322	558
366	322	556
367	323	555
368	323	553
369	324	552
370	324	550
371	325	548
372	325	547
373	326	545
374	326	544
375	327	542
376	327	541
377	328	540
378	328	538
379	329	537
380	329	535
381	330	534
382	330	532
383	331	531
384	331	529
385	331	528
386	332	526
387	332	525
388	333	523
389	333	522
390	334	520
391	334	519
392	335	517
393	335	516
394	336	514
395	336	513
396	336	511
397	337	510
398	337	509
399	338	507
400	338	506
401	339	504
402	340	503
403	340	502
404	341	501
405	341	499
406	341	498
407	342	496
408	342	495
409	343	494
410	343	492
411	344	491
412	344	489
413	345	488
414	345	487
415	346	485
416	346	484
417	346	483
418	347	481
419	347	480
420	348	479
421	348	477
422	349	476
