iter	Passed	Remaining
0	0	715
1	1	619
2	1	589
3	2	567
4	2	556
5	3	549
6	3	544
7	4	540
8	4	536
9	5	534
10	5	537
11	6	561
12	7	572
13	8	576
14	8	572
15	9	567
16	9	564
17	10	560
18	10	557
19	11	553
20	11	553
21	12	550
22	12	548
23	13	545
24	13	543
25	14	540
26	14	537
27	15	535
28	15	532
29	16	531
30	16	529
31	17	530
32	18	531
33	18	533
34	19	532
35	19	533
36	20	542
37	21	543
38	22	544
39	22	545
40	23	545
41	23	545
42	24	546
43	25	547
44	25	548
45	26	548
46	27	548
47	27	549
48	28	551
49	29	553
50	29	555
51	30	555
52	31	554
53	31	554
54	32	554
55	32	553
56	33	552
57	33	550
58	34	550
59	35	549
60	35	548
61	36	546
62	36	544
63	37	542
64	37	540
65	38	539
66	38	537
67	39	536
68	39	534
69	40	532
70	40	532
71	41	532
72	42	535
73	42	534
74	43	533
75	43	532
76	44	532
77	44	531
78	45	530
79	46	529
80	46	527
81	47	526
82	47	523
83	47	522
84	48	521
85	48	520
86	49	519
87	50	518
88	50	517
89	51	516
90	51	515
91	52	515
92	53	520
93	54	524
94	54	523
95	55	523
96	56	523
97	56	523
98	57	522
99	57	520
100	58	519
101	58	518
102	59	517
103	59	515
104	60	514
105	60	513
106	61	512
107	61	511
108	62	510
109	62	509
110	63	509
111	64	509
112	64	509
113	65	509
114	66	509
115	66	509
116	67	508
117	67	508
118	68	508
119	69	507
120	69	507
121	70	506
122	70	506
123	71	505
124	72	505
125	72	504
126	73	503
127	73	503
128	74	503
129	75	503
130	75	503
131	76	503
132	77	503
133	77	502
134	78	501
135	78	500
136	79	499
137	79	498
138	80	497
139	80	496
140	81	495
141	81	493
142	82	492
143	82	491
144	83	491
145	83	490
146	84	489
147	84	488
148	85	487
149	85	486
150	86	485
151	87	485
152	87	485
153	88	484
154	88	483
155	89	483
156	89	482
157	90	481
158	90	480
159	91	479
160	91	477
161	92	476
162	92	475
163	93	474
164	93	473
165	94	473
166	94	472
167	95	471
168	95	470
169	96	469
170	96	468
171	97	467
172	97	467
173	98	466
174	99	466
175	99	466
176	100	465
177	100	464
178	101	463
179	101	462
180	102	461
181	102	461
182	103	460
183	103	459
184	104	458
185	104	457
186	105	456
187	105	455
188	106	455
189	106	454
190	107	454
191	107	453
192	108	452
193	108	451
194	109	450
195	109	450
196	110	450
197	111	450
198	111	450
199	112	449
200	112	448
201	113	448
202	113	447
203	114	446
204	114	445
205	115	445
206	116	444
207	116	443
208	117	443
209	117	442
210	118	441
211	118	440
212	119	440
213	119	439
214	120	438
215	120	438
216	121	437
217	121	436
218	122	436
219	122	435
220	123	435
221	124	434
222	124	434
223	125	433
224	125	432
225	126	432
226	126	431
227	127	430
228	127	430
229	128	429
230	128	428
231	129	428
232	129	427
233	130	426
234	130	425
235	131	424
236	131	424
237	132	423
238	132	422
239	133	422
240	135	425
241	135	424
242	136	424
243	136	423
244	137	422
245	137	422
246	138	421
247	138	420
248	139	419
249	139	419
250	140	418
251	140	417
252	141	417
253	141	416
254	142	415
255	142	414
256	143	414
257	143	413
258	144	413
259	145	413
260	145	412
261	146	412
262	146	411
263	147	411
264	148	411
265	149	413
266	150	412
267	150	412
268	151	411
269	151	410
270	152	410
271	153	409
272	153	409
273	154	408
274	154	407
275	155	407
276	155	406
277	156	406
278	157	406
279	157	406
280	158	405
281	159	405
282	159	404
283	160	403
284	160	403
285	161	402
286	161	402
287	162	401
288	163	401
289	163	400
290	164	399
291	164	398
292	165	398
293	165	397
294	166	396
295	166	396
296	167	395
297	167	395
298	168	394
299	168	394
300	169	393
301	170	393
302	170	392
303	171	392
304	171	391
305	172	390
306	172	390
307	173	389
308	173	388
309	174	388
310	175	387
311	175	387
312	176	386
313	176	386
314	177	385
315	177	384
316	178	384
317	178	383
318	179	383
319	180	382
320	180	382
321	181	381
322	181	380
323	182	380
324	182	379
325	183	379
326	183	378
327	184	377
328	184	377
329	185	376
330	185	375
331	186	375
332	187	374
333	187	374
334	188	373
335	188	373
336	189	372
337	189	372
338	190	371
339	191	371
340	191	370
341	192	370
342	193	370
343	193	369
344	194	369
345	195	368
346	195	368
347	196	367
348	196	366
349	197	366
350	197	365
351	198	364
352	198	364
353	199	363
354	199	362
355	200	362
356	200	361
357	201	361
358	202	360
359	202	360
360	203	359
361	203	359
362	204	359
363	205	358
364	205	358
365	206	357
366	207	357
367	207	356
368	208	356
369	208	355
370	209	355
371	210	354
372	210	354
373	211	353
374	212	353
375	212	352
376	213	352
377	214	352
378	214	352
379	215	351
380	216	351
381	216	350
382	217	349
383	217	349
384	218	348
385	218	347
386	219	347
387	219	346
388	220	345
389	220	345
390	221	344
391	221	344
392	222	343
393	222	342
394	223	342
395	224	341
396	224	341
397	225	340
398	226	340
399	226	340
400	227	339
401	227	339
402	228	338
403	229	338
404	229	337
405	230	337
406	230	336
407	231	335
408	232	335
409	232	334
410	233	334
411	233	333
412	234	333
413	235	332
414	235	332
415	236	331
416	236	331
417	237	330
418	238	330
419	238	329
420	239	329
421	240	328
422	240	328
423	241	327
424	241	327
425	242	326
426	243	326
427	243	325
428	244	325
429	244	324
430	245	324
431	246	323
432	246	323
433	247	322
434	248	322
435	248	321
436	249	321
437	250	320
438	250	320
439	251	319
440	251	319
441	252	318
442	252	318
443	253	317
444	254	316
445	254	316
446	255	315
447	255	315
448	256	314
449	257	314
450	258	314
451	258	313
452	259	313
453	260	313
454	261	312
455	261	312
456	262	311
457	262	311
458	263	310
459	263	309
460	264	309
461	265	308
462	265	308
463	266	307
464	266	307
465	267	306
466	268	305
467	268	305
468	269	304
469	269	304
470	270	303
471	271	303
472	271	302
473	272	302
474	273	301
475	273	301
476	274	300
477	275	300
478	275	299
479	276	299
480	276	298
481	277	298
482	277	297
483	278	296
484	278	296
485	279	295
486	279	294
487	280	294
488	280	293
489	281	292
490	281	292
491	282	291
492	283	291
493	283	290
494	284	290
495	284	289
496	285	288
497	285	288
498	286	287
499	286	286
500	287	286
501	288	285
502	288	285
503	289	284
504	289	283
505	290	283
506	290	282
507	291	281
508	291	281
509	292	280
510	292	280
511	293	279
512	294	279
513	294	278
514	295	278
515	295	277
516	296	277
517	297	276
518	298	276
519	298	275
520	299	275
521	299	274
522	300	273
523	300	273
524	301	272
525	301	272
526	302	271
527	302	270
528	303	270
529	303	269
530	304	268
531	304	268
532	305	267
533	306	267
534	307	266
535	307	266
536	308	265
537	308	265
538	309	264
539	310	264
540	310	263
541	311	263
542	311	262
543	312	261
544	312	261
545	313	260
546	313	259
547	314	259
548	314	258
549	315	258
550	315	257
551	316	257
552	317	256
553	318	256
554	318	255
555	319	254
556	319	254
557	320	253
558	320	253
559	321	252
560	321	251
561	322	251
562	323	250
563	323	250
564	324	249
565	324	248
566	325	248
567	325	247
568	326	247
569	326	246
570	327	245
571	327	245
572	328	244
573	329	244
574	329	243
575	330	243
576	330	242
577	331	242
578	332	241
579	333	241
580	333	240
581	334	240
582	335	239
583	335	239
584	336	238
585	337	238
586	338	237
587	340	238
588	340	237
589	341	237
590	342	236
591	342	236
592	343	235
593	343	235
594	344	234
595	344	233
596	345	233
597	345	232
598	346	231
599	347	231
600	347	230
601	348	230
602	348	229
603	349	228
604	349	228
605	350	227
606	351	227
607	351	226
608	352	226
609	353	225
610	353	225
611	354	224
612	354	223
613	355	223
614	355	222
615	356	222
616	356	221
617	357	220
618	357	220
619	358	219
620	358	218
621	359	218
622	359	217
623	360	217
624	360	216
625	361	215
626	361	215
627	362	214
628	363	214
629	363	213
630	364	212
631	364	212
632	365	211
633	365	211
634	366	210
635	366	209
636	367	209
637	367	208
638	368	207
639	368	207
640	369	206
641	369	206
642	370	205
643	370	204
644	371	204
645	371	203
646	372	202
647	372	202
648	373	201
649	373	201
650	374	200
651	374	200
652	375	199
653	375	198
654	376	198
655	377	197
656	377	197
657	378	196
